"","routeid","linknummer","richting","snelheid","uur","weekdag"
"966",756429790,83469,"t",18.798735442385,13,6
"967",759999392,317286,"f",16.2538021506639,14,0
"968",759999392,85908,"t",18.2145096045722,14,0
"969",759999392,86068,"f",24.3681426278448,14,0
"970",759999392,87297,"f",22.2429626643254,14,0
"971",759999392,338814,"t",22.8426414783213,14,0
"972",772096043,567310,"t",18.0287432436457,14,0
"973",772096043,83469,"t",18.0942187831495,14,0
"974",772096043,317286,"f",16.9694164679651,14,0
"975",772096043,82250,"f",15.499672526654,14,0
"976",772096043,82242,"f",13.055393883216,14,0
"977",772096043,82234,"f",11.5880459364369,14,0
"978",772096043,338542,"f",11.7969624710017,14,0
"979",797824316,82234,"t",4.20024651828466,14,3
"980",842922229,87782,"f",19.0493881052534,19,4
"981",858683128,83313,"t",26.1907876656329,13,5
"982",861941743,83313,"t",18.9049953354047,13,5
"983",864580460,83313,"t",16.0853810719841,11,5
"984",869379820,317286,"f",17.9401277879904,12,5
"985",869379820,82242,"f",13.3660815145422,12,5
"986",869379820,82234,"f",11.1558938984909,12,5
"987",869379820,338542,"f",14.6067069124377,12,5
"988",869401319,338542,"f",23.2004166533395,15,4
"989",879374684,82250,"f",15.9143534141615,15,5
"990",896112083,338814,"f",20.2226992906064,12,6
"991",904583447,87782,"t",16.4847877603601,16,6
"992",921780267,83313,"t",14.9208086594561,13,0
"993",929628017,338814,"f",31.7306918705859,16,0
"994",929628017,86068,"t",24.1643686294165,16,0
"995",929628017,85908,"f",16.8382341897695,16,0
"996",929628017,2109156,"t",26.4219314814993,16,0
"997",570342848,83450,"f",26.9153024234052,12,1
"998",570342848,317359,"t",25.4146094389604,12,1
"999",571064750,566922,"t",21.657614312179,13,1
"1000",590055566,2109154,"t",22.3716671137055,16,1
"1001",595675853,317359,"f",8.92493049113781,12,1
"1002",608006478,566922,"t",22.1159001586003,18,2
"1003",612935170,567022,"t",19.3678800976734,11,1
"1004",619830181,1763644,"t",21.6970505858299,15,1
"1005",619830181,567022,"f",15.8376676274399,15,1
"1006",619958143,317359,"f",0,13,2
"1007",630184302,566922,"f",16.5899880357684,21,2
"1008",658728110,81798,"t",17.6140385228586,11,4
"1009",658728110,317206,"t",14.6914038433788,11,4
"1010",658728110,81803,"t",19.697816810611,11,4
"1011",658728110,83450,"f",19.8053606528167,11,4
"1012",658728110,317359,"t",12.3531344723155,11,4
"1013",659842495,567022,"t",13.0540943381911,11,4
"1014",665852725,1763644,"t",19.3644860953355,16,4
"1015",667442284,2109154,"t",19.1862330829482,16,4
"1016",687975745,562947,"f",10.8011007999536,10,5
"1017",691582797,1774415,"t",18.721481572717,15,4
"1018",691582881,2109154,"t",12.3300970557253,12,5
"1019",694102364,81803,"f",16.7307087309153,14,5
